Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
48D1	100.0	0.18	Neural Network (Specific Model)	11	0.881	738100	334.4116690751445	6294190	0.6	5536	19	1079514	None
48G9	99.43	0.16	Neural Network (Specific Model)	11	0.85	270388	312.61301539990063	6651999	0.63	6039	93	533295	None
48H11	100.0	0.11	Neural Network (Specific Model)	11	0.878	407427	329.5424111340982	5976355	0.59	5317	36	707154	None
88A6	100.0	0.01	Neural Network (Specific Model)	11	0.895	762467	331.96773591943304	5958491	0.6	5362	18	1414067	None
89F1	100.0	0.84	Neural Network (Specific Model)	11	0.882	699566	320.74652269399706	5950989	0.6	5464	240	832003	None
90D7A	100.0	0.59	Neural Network (Specific Model)	11	0.879	699566	322.47630462843443	5961813	0.6	5423	246	832050	None
90F12-1	100.0	0.01	Neural Network (Specific Model)	11	0.895	400939	331.42907669396874	5959528	0.6	5372	26	1196682	None
90F12-2	100.0	0.03	Neural Network (Specific Model)	11	0.884	699488	330.6982429335371	5869663	0.6	5236	18	831983	None
93F8	100.0	3.6	Neural Network (Specific Model)	11	0.884	409550	332.9616154873164	6762461	0.61	5992	36	721678	None
94G2	100.0	1.0	Neural Network (Specific Model)	11	0.875	177959	296.6100015725743	6454846	0.59	6359	857	814182	None
Clinton	100.0	0.43	Neural Network (Specific Model)	11	0.891	3909370	326.8340757238307	6910241	0.63	6286	144	3909370	None
Darke	100.0	0.3	Neural Network (Specific Model)	11	0.892	1707087	329.7018473895582	6896989	0.64	6225	91	1780159	None
Delaware	100.0	1.99	Neural Network (Specific Model)	11	0.882	319987	328.4685919399576	6837697	0.61	6129	226	1342973	None
Wayne	100.0	0.59	Neural Network (Specific Model)	11	0.891	3909718	324.55837403497713	6929928	0.63	6347	203	3909718	None
Wood1	100.0	0.22	Neural Network (Specific Model)	11	0.881	380513	329.8071895424837	6861595	0.61	6120	187	1380741	None
Wood3	99.99	0.83	Neural Network (Specific Model)	11	0.885	487201	320.33915724563207	6334305	0.62	5838	433	873468	None
